sample_id,coded_factors_Kp,coded_factors_Ki,coded_factors_Kd,params_Kp,params_Ki,params_Kd,params_m,params_c,params_k,position_metrics_RiseTime,position_metrics_TransientTime,position_metrics_SettlingTime,position_metrics_SettlingMin,position_metrics_SettlingMax,position_metrics_Overshoot,position_metrics_Undershoot,position_metrics_Peak,position_metrics_PeakTime
0,-1.0,-1.0,-1.0,5.0,1.0,0.09999999999999964,1.0,2.0,5.0,13.718256751697393,24.056119972045014,24.056119972045014,0.8845459067317525,0.9766104979754663,0.0,-0.0,0.9766104979754663,30.0
1,-1.0,-1.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,14.28808321253707,24.115194849583716,24.115194849583716,0.8803937730252466,0.9780047898838787,5.183270055386657e-05,-0.0,0.9780047898838787,29.9848014780161
2,-1.0,1.0,-1.0,5.0,15.0,0.09999999999999964,1.0,2.0,5.0,0.47467979181187436,14.66510905907911,14.66510905907911,0.6040400409690148,1.4302072827907313,42.959450035381174,-0.0,1.4302072827907313,1.1507061759110109
3,-1.0,1.0,1.0,5.0,15.0,5.0,1.0,2.0,5.0,1.2769446834914169,3.554010181749637,3.554010181749637,0.9006219015949907,1.0419921149604314,4.197981136049145,-0.0,1.0419921149604314,2.7555023301684987
4,1.0,-1.0,-1.0,20.0,1.0,0.09999999999999964,1.0,2.0,5.0,0.2782996479401344,23.15133156430787,23.15133156430787,0.5961787266653253,1.2222569312924643,29.95051663778836,-0.0,1.2222569312924643,0.6282733314183514
5,1.0,-1.0,1.0,20.0,1.0,5.0,1.0,2.0,5.0,0.252334778671723,23.2369452173047,23.2369452173047,0.803641656261784,0.9439835514553895,0.4045621086265827,-0.0,0.9439835514553895,0.47995024534465225
6,1.0,1.0,-1.0,20.0,15.0,0.09999999999999964,1.0,2.0,5.0,0.2695421817090796,5.327564733204422,5.327564733204422,0.6045446229746861,1.393156989938716,39.31556355317078,-0.0,1.393156989938716,0.6651059906882949
7,1.0,1.0,1.0,20.0,15.0,5.0,1.0,2.0,5.0,0.27526850811917875,3.4312227239481903,3.4312227239481903,0.89660739864472,1.0000497129488544,0.0046928446982841265,-0.0,1.0000497129488544,29.596914997952034
8,1.681792830507429,0.0,0.0,25.113446228805717,8.0,2.55,1.0,2.0,5.0,0.25833061768216686,7.5692458665846685,7.5692458665846685,0.8150876724637628,1.1217472874245409,12.178740134000087,-0.0,1.1217472874245409,0.5149026183889547
9,-1.681792830507429,0.0,0.0,-0.1134462288057172,8.0,2.55,1.0,2.0,5.0,1.7702142165399943,8.218792638819068,8.218792638819068,0.9064303745408908,1.1822400597340708,18.22252736460197,-0.0,1.1822400597340708,2.990363809750412
10,0.0,1.681792830507429,0.0,12.5,19.772549813552004,2.55,1.0,2.0,5.0,0.37403951984097294,2.1706061139736814,2.1706061139736814,0.9142532235617472,1.0866415336393151,8.663775617638514,-0.0,1.0866415336393151,0.7503269635438843
11,0.0,-1.681792830507429,0.0,12.5,-3.7725498135520024,2.55,1.0,2.0,5.0,10.42949076228301,29.901201603769955,29.901850646578303,-127.22881680501165,-115.01783064839158,0.0,0.654728432261138,127.22881680501165,30.0
12,0.0,0.0,1.681792830507429,12.5,8.0,6.670392434743201,1.0,2.0,5.0,2.5238413862118483,5.088657678773652,5.088657678773652,0.9022313511010309,1.0000661395502086,0.006434898023588431,-0.0,1.0000661395502086,29.564941425333874
13,0.0,0.0,-1.681792830507429,12.5,8.0,-1.5703924347432014,1.0,2.0,5.0,0.2559943283997195,29.995230258958753,29.99637755636043,-0.31924342473243794,2.3348116587546386,131.63504437810235,31.671918622660396,2.3348116587546386,29.618929162355062
14,0.0,0.0,0.0,12.5,8.0,2.55,1.0,2.0,5.0,0.4471211469135531,5.288955672114451,5.288955672114451,0.8300656646715439,1.0000256553990625,0.002222310642596703,-0.0,1.0000256553990625,29.534141258286816
15,0.0,0.0,0.0,12.5,8.0,2.55,1.0,2.0,5.0,0.4471211469135531,5.288955672114451,5.288955672114451,0.8300656646715439,1.0000256553990625,0.002222310642596703,-0.0,1.0000256553990625,29.534141258286816
16,0.0,0.0,0.0,12.5,8.0,2.55,1.0,2.0,5.0,0.4471211469135531,5.288955672114451,5.288955672114451,0.8300656646715439,1.0000256553990625,0.002222310642596703,-0.0,1.0000256553990625,29.534141258286816
17,0.0,0.0,0.0,12.5,8.0,2.55,1.0,2.0,5.0,0.4471211469135531,5.288955672114451,5.288955672114451,0.8300656646715439,1.0000256553990625,0.002222310642596703,-0.0,1.0000256553990625,29.534141258286816
18,0.0,0.0,0.0,12.5,8.0,2.55,1.0,2.0,5.0,0.4471211469135531,5.288955672114451,5.288955672114451,0.8300656646715439,1.0000256553990625,0.002222310642596703,-0.0,1.0000256553990625,29.534141258286816
